ID	w1	L1	c1	pc	spelling	coca	pcoca	pbnc	psoap	ph3	ph2	ph1	pc1	pc2	pc3	pc4	pc5	pb1	pb2	pb3	pb4	pb5	pb6	pb7	tpcoca	tpbnc	tpsoap	tph3	tph2	tph1	tpc1	tpc2	tpc3	tpc4	tpc5	tpb1	tpb2	tpb3	tpb4	tpb5	tpb6	tpb7	bnc	fs	fh3	fh2	fh1	fc1	fc2	fc3	fc4	fc5	fb1	fb2	fb3	fb4	fb5	fb6	fb7	tcoca	tbnc	tsoap	th3	th2	th1	tc1	tc2	tc3	tc4	tc5	tb1	tb2	tb3	tb4	tb5	tb6	tb7	
280	later	late	rrr	0.12	  	144601	311.42	296.69	244.12	331.60	259.30	74.75	273.64	377.05	359.94	336.13	210.17	183.07	342.32	261.22	372.14	348.89	231.61	350.42	0.37	0.78	0.60	0.25	0.24	0.25	0.36	0.56	0.33	0.33	0.41	0.57	0.96	0.97	0.71	0.92	0.84	0.78	29669	24412	32382	30961	9788	26150	34096	34395	30829	19139	1824	5446	1897	3895	5755	3551	7301	70021	3153	13102	10576	9318	2739	13781	10706	17769	18964	8801	509	447	204	369	492	421	711
281	nothing	nothing	pn	0.15	  	144597	311.41	319.69	916.85	499.88	535.68	591.46	309.79	653.84	244.14	224.94	130.75	417.42	845.35	245.25	255.29	180.60	159.87	214.93	0.33	0.76	0.95	0.20	0.27	0.60	0.37	0.67	0.27	0.27	0.28	0.73	0.99	0.95	0.69	0.81	0.79	0.63	31969	91685	48815	63961	77444	29605	59126	23330	20631	11907	4159	13449	1781	2672	2979	2451	4478	62710	3072	20953	8719	10515	6546	14239	12857	14488	15223	5903	653	458	201	359	432	396	573
282	once	once	rr	0.22	  	144550	311.31	293.72	210.75	430.98	497.65	574.24	232.25	483.92	347.63	286.73	209.70	193.30	560.87	345.64	252.24	241.16	204.61	300.36	0.38	0.78	0.57	0.24	0.26	0.57	0.34	0.64	0.37	0.32	0.44	0.60	0.98	0.98	0.73	0.87	0.84	0.79	29372	21075	42087	59421	75189	22195	43761	33219	26298	19097	1926	8923	2510	2640	3978	3137	6258	72756	3180	12625	10428	10443	6207	12895	12288	19628	18519	9426	535	455	206	377	463	423	721
283	much	much	rr	0.03	  	144403	310.99	359.34	241.82	325.01	364.64	441.79	395.64	305.61	317.16	269.68	262.81	458.06	369.59	393.69	249.08	372.53	395.39	375.18	0.40	0.85	0.63	0.21	0.25	0.57	0.47	0.52	0.35	0.32	0.52	0.79	0.95	0.97	0.77	0.91	0.87	0.85	35934	24182	31738	43539	57847	37809	27636	30307	24734	23933	4564	5880	2859	2607	6145	6062	7817	75469	3451	13894	8904	9821	6157	17971	9979	18459	18064	10996	710	439	205	399	484	435	779
284	side	side	nn1	0.05	  	143688	309.45	318.76	173.98	367.91	404.37	421.52	275.76	529.33	346.55	245.89	151.59	380.48	528.62	408.57	431.57	213.40	157.13	300.55	0.33	0.76	0.48	0.18	0.21	0.50	0.33	0.61	0.32	0.25	0.30	0.70	0.96	0.95	0.65	0.85	0.73	0.70	31876	17398	35928	48283	55193	26353	47867	33116	22552	13805	3791	8410	2967	4517	3520	2409	6262	61875	3065	10495	7860	8398	5429	12652	11632	16836	14307	6448	626	447	200	337	452	366	637
285	ago	ago	rr	0.00	  	143081	308.15	190.57	199.40	287.87	265.70	154.68	449.39	266.06	292.19	425.73	100.16	267.67	221.38	264.94	513.55	114.94	46.05	142.40	0.39	0.71	0.55	0.29	0.31	0.46	0.49	0.49	0.32	0.43	0.25	0.65	0.93	0.96	0.79	0.75	0.49	0.66	19057	19940	28111	31725	20253	42946	24060	27921	39047	9121	2667	3522	1924	5375	1896	706	2967	74641	2875	12142	12331	12242	5022	18805	9320	16785	24356	5375	584	431	203	407	398	244	608
286	got	get	vvn	0.02	  	143011	307.99	596.70	1047.45	334.06	361.44	173.13	710.15	428.02	164.83	202.97	22.75	4002.24	653.58	278.02	272.68	88.75	39.98	117.35	0.28	0.67	0.96	0.11	0.12	0.24	0.53	0.48	0.18	0.21	0.07	0.95	0.95	0.90	0.63	0.55	0.36	0.47	59670	104745	32622	43157	22669	67866	38706	15751	18616	2072	39877	10398	2019	2854	1464	613	2445	52668	2706	21044	4863	4790	2646	20472	9112	9522	12167	1395	850	439	190	327	292	181	427
287	white	white	jj	0.45	  	142584	307.07	199.19	31.73	355.70	339.77	287.58	157.61	474.87	346.90	263.23	299.91	137.60	395.11	336.27	145.13	144.04	114.80	199.90	0.26	0.60	0.12	0.15	0.15	0.30	0.16	0.57	0.26	0.20	0.31	0.36	0.98	0.94	0.59	0.64	0.51	0.59	19919	3173	34735	40570	37655	15062	42942	33149	24143	27312	1371	6286	2442	1519	2376	1760	4165	48460	2414	2572	6562	5920	3308	6121	10793	13742	11243	6561	318	453	198	305	344	254	542
288	thought	think	vvd	0.01	  	142422	306.73	321.40	918.61	466.49	399.89	334.36	357.86	741.54	186.93	181.18	73.42	649.16	1048.57	168.96	167.01	100.39	74.62	154.31	0.28	0.65	0.95	0.14	0.15	0.35	0.38	0.67	0.20	0.20	0.18	0.71	0.96	0.87	0.53	0.63	0.58	0.50	32140	91861	45554	47748	43780	34199	67057	17863	16617	6686	6468	16682	1227	1748	1656	1144	3215	53441	2627	20974	5856	5979	3834	14674	12875	10422	11579	3891	632	447	184	276	336	293	459
289	real	real	jj	0.05	  	141957	305.72	221.88	374.26	269.41	227.37	162.43	404.28	294.44	307.55	313.45	203.88	157.57	237.53	281.05	223.57	218.18	237.22	250.63	0.36	0.73	0.73	0.19	0.20	0.42	0.44	0.47	0.31	0.31	0.38	0.51	0.93	0.95	0.68	0.84	0.82	0.74	22188	37426	26309	27148	21268	38635	26626	29389	28749	18567	1570	3779	2041	2340	3599	3637	5222	67495	2976	16154	8293	8015	4518	16768	8848	16322	17542	8015	451	430	201	352	451	410	681
290	end	end	nn1	0.09	  	141829	305.45	411.83	132.48	345.28	346.67	275.98	279.00	343.90	317.00	306.29	282.05	467.30	399.89	447.12	435.30	492.75	319.14	448.33	0.38	0.87	0.42	0.25	0.26	0.50	0.36	0.55	0.33	0.33	0.49	0.77	0.97	0.99	0.78	0.98	0.89	0.86	41183	13248	33718	41393	36136	26663	31099	30292	28092	25685	4656	6362	3247	4556	8128	4893	9341	71297	3508	9241	10490	10214	5398	13980	10446	17654	18784	10433	687	449	208	404	525	448	787
291	around	around	rr	0.02	  	141124	303.93	201.77	496.87	352.35	218.35	90.75	316.29	600.13	287.58	228.43	90.03	203.64	316.17	358.44	247.17	173.63	74.03	188.58	0.34	0.71	0.84	0.16	0.12	0.21	0.40	0.64	0.31	0.27	0.24	0.59	0.88	0.96	0.67	0.88	0.60	0.70	20177	49687	34408	26071	11882	30226	54269	27481	20951	8199	2029	5030	2603	2587	2864	1135	3929	64732	2894	18418	6642	4901	2312	15455	12290	16726	15182	5079	527	410	203	348	468	300	638
292	news	news	nn1	0.42	  	140880	303.40	138.73	218.09	169.13	129.80	76.68	755.02	136.69	192.48	331.49	83.14	116.52	143.44	151.06	296.47	131.49	45.53	161.41	0.28	0.56	0.50	0.16	0.15	0.22	0.57	0.27	0.19	0.24	0.15	0.31	0.86	0.94	0.62	0.72	0.29	0.61	13873	21809	16516	15499	10040	72154	12361	18393	30403	7571	1161	2282	1097	3103	2169	698	3363	53671	2282	11069	6812	6040	2364	21986	5133	9877	13508	3167	272	397	199	323	387	146	558
293	program	program	nn1	0.09	US	140818	303.27	34.76	17.33	199.38	91.09	0.58	293.67	41.00	269.95	364.31	547.24	8.43	2.70	95.84	2.87	50.38	79.12	27.79	0.24	0.10	0.06	0.18	0.12	0.00	0.28	0.10	0.19	0.24	0.43	0.05	0.03	0.19	0.02	0.25	0.15	0.09	3476	1733	19470	10876	76	28065	3708	25796	33414	49835	84	43	696	30	831	1213	579	45743	391	1290	7507	4617	38	10861	1751	10012	13958	9161	36	16	41	11	132	74	81
294	several	several	da	0.12	  	140107	301.74	231.30	21.42	274.89	256.12	270.93	182.05	210.15	336.40	365.76	417.47	65.54	174.43	271.69	223.95	307.18	282.68	287.21	0.38	0.71	0.09	0.24	0.26	0.50	0.28	0.38	0.35	0.38	0.64	0.35	0.82	0.98	0.70	0.91	0.81	0.81	23130	2142	26844	30581	35475	17398	19004	32146	33547	38017	653	2775	1973	2344	5067	4334	5984	71464	2887	1905	10194	10189	5465	10674	7109	18389	21605	13687	306	381	206	361	485	406	742
295	believe	believe	vv0	0.02	  	139978	301.46	201.92	861.32	278.48	284.89	324.84	585.81	286.92	210.50	236.95	177.99	265.46	334.84	171.44	263.41	120.82	121.97	209.02	0.33	0.70	0.94	0.19	0.21	0.49	0.48	0.46	0.23	0.26	0.37	0.59	0.92	0.91	0.66	0.72	0.68	0.67	20192	86132	27194	34016	42534	55983	25946	20115	21732	16209	2645	5327	1245	2757	1993	1870	4355	61797	2821	20673	7890	8367	5336	18236	8686	12333	14768	7774	524	428	191	342	383	342	611
296	whether	whether	cs	0.09	  	139640	300.73	351.55	83.03	247.98	255.53	292.01	418.79	123.93	263.95	302.44	389.85	450.54	201.83	233.27	260.64	337.31	645.20	363.66	0.35	0.81	0.29	0.22	0.25	0.53	0.42	0.28	0.29	0.31	0.57	0.75	0.84	0.92	0.73	0.92	0.96	0.76	35155	8303	24216	30511	38235	40022	11207	25223	27739	35502	4489	3211	1694	2728	5564	9892	7577	66776	3301	6457	9478	9769	5760	15953	5314	15361	17943	12205	670	389	194	378	489	481	700
297	knew	know	vvd	0.00	  	139008	299.37	237.21	480.37	460.58	478.06	362.65	273.33	779.72	200.60	177.69	75.89	173.63	904.19	111.82	118.95	88.09	53.68	157.09	0.26	0.55	0.80	0.13	0.16	0.36	0.28	0.69	0.20	0.19	0.17	0.49	0.97	0.77	0.50	0.50	0.48	0.44	23721	48037	44977	57081	47484	26121	70510	19169	16297	6911	1730	14385	812	1245	1453	823	3273	48559	2220	17648	5416	6347	3933	10710	13229	10398	10598	3624	436	452	163	258	269	238	404
298	told	tell	vvd	0.01	  	138587	298.47	220.30	807.55	438.08	346.38	209.19	294.35	574.75	256.96	301.71	68.74	230.34	594.75	119.11	381.03	116.70	31.76	144.37	0.28	0.56	0.92	0.21	0.18	0.27	0.31	0.59	0.22	0.27	0.14	0.47	0.96	0.80	0.63	0.62	0.33	0.43	22030	80755	42780	41359	27391	28130	51974	24555	27672	6260	2295	9462	865	3988	1925	487	3008	53236	2253	20333	8948	7085	2951	11922	11322	11464	15536	2992	420	444	168	327	333	167	394
299	research	research	nn1	0.22	  	138586	298.46	256.25	27.10	111.21	32.37	9.45	107.49	36.72	265.48	197.91	894.66	60.72	18.35	126.27	156.69	634.12	372.37	288.07	0.21	0.51	0.09	0.09	0.04	0.06	0.11	0.10	0.20	0.17	0.59	0.20	0.27	0.77	0.58	0.81	0.62	0.62	25625	2710	10860	3865	1237	10272	3321	25369	18152	81473	605	292	917	1640	10460	5709	6002	38981	2076	1913	3682	1755	705	4403	1749	10844	9456	12529	173	123	162	301	435	313	569
300	public	public	jj	0.11	  	138553	298.39	278.22	27.61	244.84	219.89	266.34	257.98	53.62	244.15	416.91	521.51	113.41	61.72	176.54	325.80	393.39	456.57	361.36	0.28	0.63	0.10	0.22	0.23	0.51	0.29	0.15	0.20	0.32	0.47	0.29	0.64	0.81	0.71	0.84	0.71	0.72	27822	2761	23909	26255	34874	24654	4849	23331	38238	47492	1130	982	1282	3410	6489	7000	7529	52831	2559	2289	9544	9215	5503	10945	2797	10701	18300	10088	253	299	171	368	449	357	662
301	story	story	nn1	0.05	  	138313	297.88	130.57	171.47	194.49	220.51	193.01	507.39	253.26	234.37	276.44	210.57	98.76	157.89	149.41	142.55	139.98	90.73	157.62	0.28	0.54	0.43	0.16	0.17	0.32	0.41	0.40	0.22	0.23	0.23	0.32	0.88	0.85	0.57	0.62	0.46	0.52	13057	17147	18993	26329	25272	48489	22902	22396	25354	19176	984	2512	1085	1492	2309	1391	3284	53361	2195	9548	6649	6748	3507	15770	7607	11645	13355	4984	278	407	180	296	331	229	474
302	together	together	rr	0.04	  	137947	297.09	295.24	745.35	284.35	289.37	285.50	326.75	356.70	338.42	244.81	216.13	270.88	376.45	363.40	221.85	292.75	257.44	340.72	0.35	0.82	0.91	0.17	0.19	0.46	0.37	0.55	0.33	0.26	0.45	0.64	0.96	0.99	0.69	0.95	0.88	0.87	29524	74535	27768	34552	37382	31226	32256	32339	22453	19682	2699	5989	2639	2322	4829	3947	7099	66263	3333	19919	7250	7567	5024	14023	10569	17429	14777	9465	576	444	208	358	508	443	796
303	anything	anything	pn	0.04	  	137800	296.77	265.13	1315.87	361.76	363.38	223.15	447.86	517.42	218.58	214.69	84.00	652.67	572.87	237.81	178.67	134.83	110.03	162.61	0.33	0.75	0.98	0.16	0.19	0.37	0.47	0.61	0.25	0.26	0.22	0.83	0.96	0.94	0.63	0.76	0.74	0.60	26513	131587	35327	43388	29218	42800	46790	20887	19691	7650	6503	9114	1727	1870	2224	1687	3388	62310	3045	21603	6871	7478	3975	17824	11601	13517	14666	4702	748	444	198	327	406	370	552
304	problem	problem	nn1	0.02	  	137710	296.58	282.17	367.51	214.13	124.30	29.59	452.44	149.84	272.23	251.02	350.21	360.61	116.85	297.71	242.20	302.03	429.63	311.92	0.32	0.76	0.71	0.19	0.15	0.16	0.40	0.30	0.26	0.26	0.49	0.66	0.78	0.93	0.69	0.89	0.86	0.74	28217	36751	20910	14842	3874	43237	13550	26014	23023	31892	3593	1859	2162	2535	4982	6587	6499	59967	3088	15592	7961	5969	1695	15259	5685	13892	14621	10510	592	364	196	356	473	430	677
305	such	such	ii	0.08	  	137063	295.18	313.56	7.61	138.57	112.23	120.91	51.04	32.82	412.07	321.01	663.23	44.06	35.70	348.66	167.20	475.78	615.00	421.88	0.30	0.67	0.03	0.14	0.13	0.37	0.10	0.11	0.35	0.31	0.73	0.24	0.50	0.96	0.68	0.95	0.92	0.83	31356	761	13532	13401	15832	4878	2968	39377	29442	60398	439	568	2532	1750	7848	9429	8790	57622	2722	657	5774	5193	4074	3754	1969	18690	17597	15612	206	232	202	354	509	459	760
306	education	education	nn1	0.21	  	136995	295.04	256.81	7.05	133.30	108.17	127.08	120.44	23.60	156.65	228.12	960.44	119.84	24.01	75.05	212.39	455.10	525.06	277.42	0.16	0.48	0.03	0.10	0.10	0.28	0.13	0.08	0.11	0.15	0.45	0.24	0.38	0.61	0.54	0.67	0.52	0.56	25681	705	13017	12916	16639	11510	2134	14969	20923	87464	1194	382	545	2223	7507	8050	5780	30698	1928	598	4343	3762	3001	4829	1424	6017	8811	9617	207	177	128	281	358	263	514
307	question	question	nn1	0.03	  	136389	293.73	240.92	182.84	226.29	258.61	287.03	638.56	174.41	168.77	175.74	300.45	319.76	199.57	140.32	145.04	230.19	427.16	232.68	0.29	0.71	0.50	0.18	0.24	0.54	0.46	0.34	0.19	0.20	0.46	0.56	0.90	0.87	0.64	0.77	0.93	0.64	24092	18284	22098	30879	37583	61024	15772	16127	16118	27361	3186	3175	1019	1518	3797	6549	4848	55198	2897	10999	7836	9472	5904	17527	6437	10042	11485	9707	501	416	184	332	413	466	585
308	back	back	nn1	0.04	  	136354	293.66	244.60	414.03	318.11	289.07	140.33	295.41	641.10	262.24	208.89	65.36	424.24	537.04	285.60	302.11	100.64	48.79	194.14	0.30	0.71	0.78	0.14	0.15	0.28	0.36	0.66	0.26	0.23	0.16	0.73	0.97	0.96	0.64	0.73	0.51	0.63	24460	41403	31064	34516	18374	28231	57974	25059	19159	5952	4227	8544	2074	3162	1660	748	4045	57102	2865	17099	5957	5843	3011	13819	12690	13794	13292	3507	658	452	202	329	391	254	579
309	trying	try	vvg	0.02	  	135843	292.56	175.59	833.38	252.12	171.82	72.73	507.25	375.57	210.31	277.59	86.37	323.58	338.48	191.55	197.11	103.48	74.03	127.38	0.34	0.69	0.93	0.17	0.14	0.23	0.50	0.53	0.24	0.31	0.23	0.68	0.92	0.90	0.64	0.79	0.58	0.56	17559	83338	24620	20516	9523	48475	33963	20097	25460	7865	3224	5385	1391	2063	1707	1135	2654	65093	2783	20357	7340	5604	2519	19011	10187	12973	17945	4977	607	429	190	329	420	292	516
310	making	making	nn1	0.05	  	134695	290.08	267.25	312.87	249.59	263.59	227.06	302.06	257.34	327.89	297.93	262.59	238.97	287.44	316.44	272.39	258.50	248.31	314.42	0.39	0.83	0.71	0.21	0.24	0.50	0.39	0.49	0.37	0.34	0.52	0.67	0.92	0.98	0.75	0.94	0.90	0.85	26725	31287	24373	31473	29730	28866	23271	31333	27325	23913	2381	4573	2298	2851	4264	3807	6551	74160	3349	15608	8812	9544	5423	14874	9348	19494	19477	10967	597	428	206	389	503	451	775
311	only	only	jj	0.06	  	133965	288.51	289.66	424.92	328.01	288.84	279.39	261.84	355.26	297.57	305.14	224.36	303.00	353.06	333.52	332.40	263.77	265.53	288.31	0.39	0.83	0.79	0.24	0.26	0.53	0.36	0.58	0.34	0.35	0.49	0.70	0.95	0.97	0.77	0.92	0.91	0.81	28966	42492	32031	34488	36582	25023	32126	28435	27987	20432	3019	5617	2422	3479	4351	4071	6007	73173	3360	17469	10409	10295	5800	13798	11038	17849	20018	10470	625	443	205	399	490	457	741
312	looking	look	vvg	0.07	  	132810	286.03	251.00	420.46	303.77	296.92	239.05	375.91	525.39	222.50	216.82	90.54	443.81	549.99	242.08	256.63	125.13	92.55	192.03	0.33	0.75	0.78	0.13	0.13	0.32	0.43	0.61	0.26	0.26	0.24	0.72	0.95	0.96	0.67	0.84	0.67	0.69	25100	42046	29664	35453	31300	35924	47511	21262	19886	8245	4422	8750	1758	2686	2064	1419	4001	61848	3052	17187	5522	5125	3516	16430	11651	13827	14740	5200	646	442	202	346	447	335	634
313	least	least	rr	0.00	  	132652	285.68	259.90	239.35	283.26	220.05	219.61	278.04	251.79	304.34	302.12	291.24	174.94	263.93	254.48	251.66	287.24	360.43	254.47	0.38	0.78	0.63	0.24	0.22	0.48	0.37	0.46	0.33	0.34	0.53	0.57	0.86	0.95	0.73	0.93	0.90	0.78	25990	23935	27661	26274	28755	26571	22769	29082	27710	26522	1743	4199	1848	2634	4738	5526	5302	71346	3145	13753	10123	8837	5261	14116	8806	17817	19379	11228	510	400	200	378	494	450	713
314	already	already	rr	0.04	  	132425	285.20	328.60	483.03	318.96	269.20	275.34	280.68	383.39	267.70	284.37	211.59	274.50	382.10	298.82	427.84	354.65	303.03	331.27	0.36	0.82	0.84	0.24	0.25	0.50	0.37	0.57	0.29	0.32	0.43	0.63	0.93	0.97	0.77	0.97	0.89	0.84	32860	48303	31147	32143	36052	26823	34670	25581	26082	19269	2735	6079	2170	4478	5850	4646	6902	68051	3336	18428	10238	9835	5496	14137	10897	15568	18236	9213	566	430	205	400	518	446	771
315	center	center	nn1	0.49	US	132398	285.14	4.84	27.96	158.04	63.71	11.58	182.56	130.36	340.52	524.22	247.64	0.10	0.63	12.94	1.34	12.97	4.57	3.89	0.31	0.05	0.09	0.14	0.07	0.05	0.23	0.29	0.30	0.36	0.40	0.01	0.02	0.14	0.02	0.18	0.05	0.05	484	2796	15433	7607	1516	17446	11788	32540	48080	22552	1	10	94	14	214	70	81	59135	220	1995	6036	2659	531	8802	5396	16101	20312	8524	1	7	29	11	98	27	47
316	table	table	nn1	0.42	  	131879	284.02	190.88	62.87	253.59	260.63	174.21	80.45	417.11	227.88	100.23	609.52	154.86	393.54	122.01	102.33	103.91	255.94	177.06	0.20	0.57	0.21	0.09	0.10	0.25	0.12	0.47	0.18	0.11	0.42	0.40	0.94	0.79	0.46	0.59	0.56	0.55	19088	6287	24764	31120	22811	7688	37719	21776	9193	55507	1543	6261	886	1071	1714	3924	3689	38109	2295	4554	3737	3993	2740	4711	8871	9574	6094	8859	351	438	167	239	316	282	502
317	large	large	jj	0.03	  	131200	282.56	339.59	13.75	280.93	348.10	397.81	131.25	221.52	412.19	265.19	383.41	131.38	229.36	441.75	176.18	439.64	462.44	461.10	0.32	0.77	0.06	0.20	0.28	0.58	0.21	0.40	0.33	0.26	0.58	0.46	0.90	0.96	0.72	0.97	0.84	0.84	33959	1375	27434	41564	52088	12543	20032	39388	24323	34916	1309	3649	3208	1844	7252	7090	9607	60354	3107	1234	8419	11176	6344	7913	7576	17732	14759	12374	408	419	203	371	517	422	767
318	having	have	vhg	0.08	  	130603	281.27	337.39	411.44	258.90	297.13	414.46	368.04	267.94	272.91	239.35	254.42	468.70	333.26	369.73	326.47	330.58	314.19	354.93	0.36	0.84	0.77	0.18	0.25	0.56	0.44	0.48	0.30	0.28	0.50	0.77	0.91	0.99	0.73	0.95	0.93	0.80	33739	41144	25282	35478	54268	35172	24230	26079	21953	23169	4670	5302	2685	3417	5453	4817	7395	68546	3408	16886	7766	9785	6132	16701	9189	15998	16110	10548	691	424	208	378	506	464	737
319	called	call	vvn	0.01	  	130036	280.05	242.71	131.65	294.76	271.14	304.47	348.11	250.96	322.11	271.62	201.86	259.64	246.96	243.32	275.83	306.27	199.20	239.74	0.37	0.78	0.42	0.25	0.25	0.53	0.44	0.49	0.33	0.30	0.42	0.64	0.94	0.95	0.71	0.93	0.84	0.75	24271	13165	28784	32375	39866	33267	22694	30780	24912	18383	2587	3929	1767	2887	5052	3054	4995	69960	3181	9167	10695	10087	5764	16740	9360	17610	17421	8829	573	435	201	368	497	421	686
320	child	child	nn1	0.08	  	129898	279.75	234.81	343.28	215.58	241.50	324.29	287.04	257.77	311.57	209.12	331.73	134.09	285.30	116.63	194.62	256.01	461.59	164.24	0.20	0.50	0.54	0.10	0.11	0.30	0.20	0.38	0.17	0.15	0.24	0.27	0.88	0.67	0.53	0.53	0.53	0.47	23481	34328	21052	28836	42462	27431	23310	29773	19180	30209	1336	4539	847	2037	4223	7077	3422	37576	2032	11912	4050	4225	3231	7749	7148	8988	8557	5134	234	407	142	273	284	264	428
321	morning	morning	nn1	0.09	  	129491	278.88	198.46	221.54	289.11	330.77	338.33	591.75	418.49	182.23	151.93	41.15	476.53	457.72	115.67	195.29	86.39	25.18	149.79	0.27	0.60	0.49	0.15	0.19	0.40	0.48	0.56	0.19	0.16	0.10	0.67	0.98	0.87	0.60	0.50	0.30	0.53	19846	22154	28233	39495	44300	56551	37844	17414	13935	3747	4748	7282	840	2044	1425	386	3121	50240	2447	10710	6206	7442	4312	18225	10725	9934	9204	2152	602	453	183	309	266	150	484
322	getting	get	vvg	0.05	  	129464	278.82	193.09	597.13	224.06	177.16	91.07	455.44	295.03	275.39	285.05	74.91	559.53	280.53	221.98	193.57	110.27	54.01	143.32	0.35	0.70	0.88	0.16	0.15	0.25	0.48	0.48	0.30	0.32	0.21	0.82	0.92	0.94	0.60	0.72	0.50	0.59	19309	59713	21880	21153	11924	43524	26679	26316	26144	6822	5575	4463	1612	2026	1819	828	2986	66351	2843	19377	6692	5882	2698	18561	9138	16106	18147	4399	733	425	199	310	387	250	539
323	seen	see	vvn	0.01	  	129459	278.81	359.50	264.89	331.46	367.54	430.86	342.73	389.34	217.54	220.67	224.81	380.98	470.86	271.83	288.26	339.13	479.86	322.58	0.34	0.81	0.64	0.17	0.20	0.51	0.40	0.57	0.25	0.26	0.43	0.71	0.95	0.99	0.73	0.91	0.85	0.79	35950	26489	32368	43885	56415	32753	35208	20788	20239	20473	3796	7491	1974	3017	5594	7357	6721	63706	3289	14050	7177	7987	5499	15319	10810	13435	14900	9242	633	439	208	376	487	426	720
324	study	study	nn1	0.06	  	129110	278.06	188.78	10.46	109.91	102.18	97.25	75.46	41.66	202.96	124.17	959.19	39.44	38.91	84.14	65.45	268.68	537.51	187.04	0.17	0.48	0.04	0.10	0.11	0.27	0.08	0.11	0.16	0.11	0.58	0.16	0.48	0.63	0.42	0.66	0.72	0.58	18878	1046	10733	12201	12734	7211	3767	19395	11389	87350	393	619	611	685	4432	8241	3897	32426	1961	830	4286	4164	2990	3249	1938	8533	6290	12416	136	224	132	220	353	363	533
325	put	put	vv0	0.04	  	128777	277.34	319.13	510.18	278.51	266.83	206.02	458.69	322.98	260.73	242.59	94.28	1264.29	381.54	276.78	271.54	159.20	104.88	199.66	0.35	0.80	0.85	0.18	0.19	0.41	0.48	0.53	0.30	0.29	0.26	0.86	0.97	0.96	0.72	0.85	0.72	0.70	31913	51018	27197	31860	26975	43835	29207	24915	22250	8586	12597	6070	2010	2842	2626	1608	4160	66733	3252	18736	7680	7666	4514	18473	10153	16053	16427	5627	775	449	202	372	453	363	638
326	job	job	nn1	0.03	  	128761	277.30	218.98	384.26	228.11	135.94	24.17	364.60	232.14	260.04	369.98	155.40	396.74	243.57	191.96	298.96	145.01	115.19	258.65	0.29	0.66	0.66	0.18	0.13	0.08	0.36	0.39	0.23	0.30	0.23	0.60	0.86	0.91	0.62	0.72	0.50	0.64	21898	38426	22276	16232	3165	34843	20992	24849	33934	14152	3953	3875	1394	3129	2392	1766	5389	55486	2667	14418	7473	5036	921	13722	7403	12342	17198	4821	537	399	192	320	384	253	582
327	yeah	yeah	uh	0.82	  	128461	276.66	828.99	4737.63	66.85	21.00	0.25	1063.65	233.46	33.09	25.22	3.83	8186.15	56.95	33.19	2.29	1.70	1.37	5.52	0.14	0.25	1.00	0.02	0.01	0.00	0.46	0.27	0.04	0.03	0.01	0.83	0.28	0.20	0.04	0.03	0.02	0.04	82899	473763	6528	2508	33	101648	21112	3162	2313	349	81564	906	241	24	28	21	115	26436	1003	21933	929	368	13	17482	4978	1947	1830	199	749	132	42	20	15	8	37
328	within	within	ii	0.10	  	127569	274.74	437.08	21.87	229.57	234.75	303.30	161.42	134.80	259.67	189.11	634.69	252.92	157.39	246.63	260.26	625.15	828.16	535.63	0.30	0.80	0.09	0.20	0.23	0.53	0.24	0.30	0.28	0.22	0.68	0.53	0.81	0.97	0.73	0.96	0.96	0.89	43708	2187	22418	28030	39713	15426	12190	24814	17345	57799	2520	2504	1791	2724	10312	12697	11160	56808	3243	1986	8476	9070	5762	9217	5542	14731	12841	14477	477	378	204	377	512	482	813
329	face	face	nn1	0.03	  	127131	273.79	260.90	234.81	487.32	578.88	542.64	129.11	880.01	174.14	110.77	92.50	104.98	1047.00	171.03	150.58	95.91	75.01	136.16	0.22	0.60	0.58	0.13	0.16	0.37	0.18	0.70	0.18	0.13	0.21	0.34	0.97	0.86	0.56	0.68	0.63	0.56	26090	23481	47588	69120	71052	12338	79579	16641	10160	8424	1046	16657	1242	1576	1582	1150	2837	42198	2419	12704	5380	6248	4079	7083	13417	9600	7704	4394	303	452	182	290	361	315	516
330	history	history	nn1	0.11	  	126972	273.45	188.46	69.36	186.78	171.03	251.73	209.23	100.33	277.42	287.18	494.79	65.94	63.61	182.46	163.95	275.60	328.27	218.72	0.28	0.58	0.24	0.17	0.18	0.43	0.27	0.23	0.24	0.27	0.48	0.25	0.63	0.85	0.64	0.76	0.72	0.64	18846	6936	18240	20422	32961	19995	9073	26510	26339	45059	657	1012	1325	1716	4546	5033	4557	53240	2370	5298	7184	6933	4733	10217	4318	12869	15706	10130	222	290	179	329	404	359	587
331	maybe	maybe	rr	0.39	  	125907	271.16	98.82	1329.08	267.91	128.46	18.48	404.96	611.23	156.93	153.69	31.78	311.83	239.80	98.04	53.98	28.01	13.11	48.96	0.26	0.45	0.97	0.08	0.05	0.06	0.44	0.58	0.17	0.18	0.08	0.64	0.77	0.76	0.35	0.31	0.16	0.32	9882	132908	26162	15339	2420	38700	55273	14996	14096	2894	3107	3815	712	565	462	201	1020	48665	1814	21368	3491	1997	675	16763	10986	9093	10061	1762	571	356	161	181	168	82	295
