TS,soundSpel,note,Rondthaler,SSmatchRond,pronunciation,longNote,multipleTS,multipleSS,alternatives,British
A [ae],A [ae],,,NA,,,,,,
aa,aa’aa,*,,NA,,,,,,
aah,aa,,aa,T,,,,,,
aback,abak,,abak,T,,,,,,
abacus,abacus,,abacus,T,,,,,,
abaft,abaft,,abaft,T,,,,,,
abalone,abaloeny,,abaloeny,T,,,,,,
abandon,abandon,,abandon,T,,,,,,
abandoned,abandond,,abandond,T,,,,,,
abandoning,abandoning,,abandoning,T,,,,,,
abandonment,abandonment,,abandonment,T,,,,,,
abandonments,abandonments,*,,NA,,,,,,
abandons,abandons,,,NA,,,,,,
abase,abaess,,abaes,F,,,,,,
abasement,abaesment,,abaesment,T,,,,,,
abashed,abasht,,,NA,,,,,,
abate,abaet,,abaet,T,,,,,,
abated,abaeted,,abaeted,T,,,,,,
abatement,abaetment,,abaetment,T,,,,,,
abatements,abaetments,,,NA,,,,,,
abates,abaets,,,NA,,,,,,
abating,abaeting,,,NA,,,,,,
abattoir,abatwar,,abatwar,T,,,,,,
abbe,abae,,abay,F,,,,,,
abbes,abaes,,abays,F,,,,,,
abbess,abes,,abis,F,,,,,,
abbey,aby,,aby,T,,,,,,
abbeys,abys,,abys,T,,,,,,
abbot,abot,,abot,T,,,,,,
abbots,abots,,,NA,,,,,,
abbreviate,abreeviaet,,abreeviaet,T,,,,,,
abbreviated,abreeviaeted,,abreeviaeted,T,,,,,,
abbreviates,abreeviaets,,,NA,,,,,,
abbreviating,abreeviaeting,,abreeviaeting,T,,,,,,
abbreviation,abreeviaeshon,,abreeviaeshun,F,,,,,,
abbreviations,abreeviaeshons,,abreeviaeshuns,F,,,,,,
abdicate,abdicaet,,abdicaet,T,,,,,,
abdicated,abdicaeted,,,NA,,,,,,
abdicates,abdicaets,,,NA,,,,,,
abdicating,abdicaeting,,,NA,,,,,,
abdication,abdicaeshon,,abdicaeshun,F,,,,,,
abdications,abdicaeshons,,,NA,,,,,,
abdomen,abdomen,,abdomen,T,,,,,,
abdomens,abdomens,,,NA,,,,,,
abdominal,abdominal,,abdominal,T,,,,,,
abdominally,abdominaly,,,NA,,,,,,
abduct,abdukt,,abduct,F,,,,,,
abducted,abdukted,,,NA,,,,,,
abducting,abdukting,,,NA,,,,,,
abduction,abdukshon,,abducshun,F,,,,,,
abductions,abdukshons,,,NA,,,,,,
abductor,abduktor,,abductor,F,,,,,,
abductors,abduktors,,,NA,,,,,,
abducts,abdukts,,,NA,,,,,,
abed,abed,,abed,T,,,,,,
aberrance,aberranss,,aberans,F,,,,,,
aberrant,aberrant,,aberant,F,,,,,,
aberrantly,aberrantly,,,NA,,,,,,
aberration,aberaeshon,,aberaeshun,F,,,,,,
aberrational,aberaeshonal,,,NA,,,,,,
aberrations,aberaeshons,,aberaeshuns,F,,,,,,
abet,abet,,abet,T,,,,,,
abets,abets,,,NA,,,,,,
abetted,abeted,,abeted,T,,,,,,
abetting,abeting,,abeting,T,,,,,,
abettor,abetor,,abetor,T,,,,,,
abeyance,abaeanss,,abaeans,F,,,,,,
abhor,abor,,abhor,F,,,,,,
abhored,abord,,,NA,,,,,,
abhorrence,aborenss,,abhorens,F,,,,,,
abhorrent,aborent,,abhorent,F,,,,,,
abhorrently,aborently,,,NA,,,,,,
abhorring,aboring,,abhoring,F,,,,,,
abhors,abors,,,NA,,,,,,
abide,abied,,abied,T,,,,,,
abides,abieds,,abieds,T,,,,,,
abiding,abieding,,abieding,T,,,,,,
Abigail,Abigael,,,NA,,,,,,
abilities,abilitys,,abilitys,T,,,,,,
ability,ability,,ability,T,,,,,,
abject,abjekt,,abject,F,,,,,,
abjection,abjekshon,,abjecshun,F,,,,,,
abjections,abjekshons,,,NA,,,,,,
abjectly,abjektly,,abjectly,F,,,,,,
abjuration,abjuuraeshon,,,NA,,,,,,
abjurations,abjuuraeshons,,,NA,,,,,,
abjure,abjuur,,abjur,F,,,,,,
abjured,abjuurd,,,NA,,,,,,
abjures,abjuurs,,,NA,,,,,,
abjuring,abjuuring,,,NA,,,,,,
ablate,ablaet,,,NA,,,,,,
ablated,ablaeted,,,NA,,,,,,
ablates,ablaets,,,NA,,,,,,
ablating,ablaeting,,,NA,,,,,,
ablation,ablaeshon,,ablaeshun,F,,,,,,
ablations,ablaeshons,,,NA,,,,,,
ablative,ablativ,,ablativ,T,,,,,,
ablatives,ablativs,,,NA,,,,,,
ablaze,ablaez,,ablaez,T,,,,,,
able,aebl,,aebl,T,,,,,,
abler,aebler,,aebler,T,,,,,,
ables,aebls,*,,NA,,,,,,
ablest,aeblest,,,NA,,,,,,
abling,aebling,*,,NA,,,,,,
ablution,ablooshon,,ablooshun,F,,,,,,
ablutions,ablooshon,,,NA,,,,,,
ably,aebly,,aebly,T,,,,,,
abnegate,abnegaet,,,NA,,,,,,
abnegated,abnegaeted,,,NA,,,,,,
abnegates,abnegaets,,,NA,,,,,,
abnegating,abnegaeting,,,NA,,,,,,
abnegation,abnegaeshon,,abnegaeshun,F,,,,,,
abnegations,abnegaeshons,,,NA,,,,,,
abnormal,abnormal,,abnormal,T,,,,,,
abnormalities,abnormalitys,,abnormalitys,T,,,,,,
abnormality,abnormality,,abnormality,T,,,,,,
abnormally,abnormaly,,abnormaly,T,,,,,,
aboard,abord,,abord,T,,,,,,
abode,aboed,,aboed,T,,,,,,
abodes,aboeds,,,NA,,,,,,
abolish,abolish,,abolish,T,,,,,,
abolished,abolisht,,abolisht,T,,,,,,
abolishes,abolishes,,,NA,,,,,,
abolishing,abolishing,,,NA,,,,,,
abolition,abolishon,,abolishun,F,,,,,,
abolitionism,abolishonizm,,abolishunizm,F,,,,,,
abolitionist,abolishonist,,abolishunist,F,,,,,,
abolitionists,abolishonists,,abolishunists,F,,,,,,
abominable,abominabl,,abominabl,T,,,,,,
abominably,abominably,,,NA,,,,,,
abomination,abominaeshon,,abominaeshun,F,,,,,,
abominations,abominaeshons,,,NA,,,,,,
aboriginal,aborijinal,,aborijinal,T,,,,,,
aborigine,aborijinee,,aborijinee,T,,,,,aborijiny,
aborigines,aborijinees,,aborijinees,T,,,,,aborijinys,
abort,abort,,abort,T,,,,,,
aborted,aborted,,,NA,,,,,,
aborting,aborting,,,NA,,,,,,
abortion,aborshon,,aborshun,F,,,,,,
abortionist,aborshonist,,aborshunist,F,,,,,,
abortionists,aborshonists,,,NA,,,,,,
abortions,aborshons,,aborshuns,F,,,,,,
abortive,abortiv,,abortiv,T,,,,,,
abortively,abortivly,,,NA,,,,,,
aborts,aborts,,,NA,,,,,,
abound,abound,,abound,T,,,,,,
abounded,abounded,,abounded,T,,,,,,
abounding,abounding,,abounding,T,,,,,,
abounds,abounds,,abounds,T,,,,,,
about,about,,about,T,,,,,,
above,abuv,,abuv,T,,,,,,
aboveboard,abuvbord,,abuvbord,T,,,,,,
aboveground,abuvground,,abuvground,T,,,,,,
abovementioned,abuvmenshond,,,NA,,,,,,
abrade,abraed,,abraed,T,,,,,,
abraded,abraeded,,,NA,,,,,,
abrader,abraeder,,,NA,,,,,,
abraders,abraeders,,,NA,,,,,,
abrades,abraeds,,,NA,,,,,,
abrading,abraeding,,,NA,,,,,,
abrasion,abraezhon,,abraezhun,F,,,,,,
abrasions,abraezhons,,,NA,,,,,,
abrasive,abraesiv,,abraesiv,T,,,,,,
abrasively,abraesivly,,,NA,,,,,,
abrasiveness,abraesivnes,,,NA,,,,,,
abreact,abreakt,,abriact,F,,,,,,
abreacted,abreakted,,,NA,,,,,,
abreacting,abreakting,,,NA,,,,,,
abreaction,abreakshon,,abriacshun,F,,,,,,
abreactions,abreakshons,,,NA,,,,,,
abreacts,abreakts,,,NA,,,,,,
abreast,abrest,,abrest,T,,,,,,
abridge,abrij,,abrij,T,,,,,,
abridged,abrijd,,abrijd,T,,,,,,
abridgement,abrijment,,,NA,,,,,,
abridgements,abrijments,,,NA,,,,,,
abridges,abrijes,,,NA,,,,,,
abridging,abrijing,,abrijing,T,,,,,,
abroad,abraud,,abraud,T,,,,,,
abrogate,abrogaet,,abrogaet,T,,,,,,
abrogated,abrogaeted,,abrogaeted,T,,,,,,
abrogates,abrogaets,,,NA,,,,,,
abrogating,abrogaeting,,,NA,,,,,,
abrogation,abrogaeshon,,abrogaeshun,F,,,,,,
abrogations,abrogaeshons,,,NA,,,,,,
abrupt,abrupt,,abrupt,T,,,,,,
abruptly,abruptly,,abruptly,T,,,,,,
abruptness,abruptnes,,abruptnes,T,,,,,,
abscess,absess,,abses,F,,,,,,
abscesses,abseses,,abseses,T,,,,,,
abscissa,absisa,,absisa,T,,,,,,
abscissas,absisas,,,NA,,,,,,
abscond,abscond,,abscond,T,,,,,,
absconded,absconded,,,NA,,,,,,
absconder,absconder,,absconder,T,,,,,,
absconders,absconders,,,NA,,,,,,
absconding,absconding,,,NA,,,,,,
absconds,absconds,,,NA,,,,,,
absent,absent,,absent,T,,,,,,
absented,absented,,absented,T,,,,,,
absentee,absentee,,absentee,T,,,,,,
absenteeism,absenteeizm,,absenteeizm,T,,,,,,
absentees,absentees,,,NA,,,,,,
absentia,absensha,,absentia,F,,,,,,
absently,absently,,absently,T,,,,,,
absentminded,absentmiended,,absentmiended,T,,,,,,
absentmindedly,absentmiendedly,,absentmiendedly,T,,,,,,
absentmindedness,absentmiendednes,,,NA,,,,,,
absinthe,absinth,,absinth,T,,,,,,
absolute,absoloot,,absoloot,T,,,,,,
absolutely,absolootly,,absolootly,T,,,,,,
absoluteness,absolootnes,,absolootnes,T,,,,,,
absolutes,absoloots,,absoloots,T,,,,,,
absolution,absolooshon,,absolooshun,F,,,,,,
absolutions,absolooshons,,,NA,,,,,,
absolutism,absolootizm,,absolootizm,T,,,,,,
absolutist,absolootist,,,NA,,,,,,
absolutists,absolootists,,,NA,,,,,,
absolve,abzolv,,abzolv,T,,,,,,
absolved,abzolvd,,,NA,,,,,,
absolves,abzolvs,,,NA,,,,,,
absolving,abzolving,,,NA,,,,,,
absorb,absorb,,absorb,T,,,,,,
absorbed,absorbd,,absorbd,T,,,,,,
absorbency,absorbensy,,absorbensy,T,,,,,,
absorbent,absorbent,,absorbent,T,,,,,,
absorbents,absorbents,,,NA,,,,,,
absorber,absorber,,absorber,T,,,,,,
absorbers,absorbers,,,NA,,,,,,
absorbing,absorbing,,absorbing,T,,,,,,
absorbingly,absorbingly,,,NA,,,,,,
absorbs,absorbs,,absorbs,T,,,,,,
absorption,absorpshon,,absorpshun,F,,,,,,
absorptions,absorpshons,,absorpshuns,F,,,,,,
absorptive,absorptiv,,absorptiv,T,,,,,,
absorptively,absorptivly,,,NA,,,,,,
abstain,abstaen,,abstaen,T,,,,,,
abstained,abstaend,,,NA,,,,,,
abstaining,abstaening,,abstaening,T,,,,,,
abstains,abstaens,,,NA,,,,,,
abstemious,absteemius,,absteemius,T,,,,,,
abstention,abstenshon,,abstenshun,F,,,,,,
abstentions,abstenshons,,,NA,,,,,,
abstinence,abstinenss,,abstinens,F,,,,,,
abstinent,abstinent,,abstinent,T,,,,,,
abstinently,abstinently,,,NA,,,,,,
abstract,abstrakt,,abstract,F,,,,,,
abstracted,abstrakted,,abstracted,F,,,,,,
abstracting,abstrakting,,abstracting,F,,,,,,
abstraction,abstrakshon,,abstracshun,F,,,,,,
abstractions,abstrakshons,,abstracshuns,F,,,,,,
abstractive,abstraktiv,,abstractiv,F,,,,,,
abstractively,abstraktivly,*,,NA,,,,,,
abstracts,abstrakts,,abstracts,F,,,,,,
abstruse,abstrooss,,abstroos,F,,,,,,
abstrusely,abstroosly,,,NA,,,,,,
abstruseness,abstroosnes,,abstroosnes,T,,,,,,
absurd,absurd,,abserd,F,,,,,,
absurdity,absurdity,,abserdity,F,,,,,,
absurdly,absurdly,,abserdly,F,,,,,,
absurdness,absurdnes,,,NA,,,,,,
abuse,abuess,,abues,F,,,,,,
abuse,abuez,,abues,F,,,,,,
abused,abuezd,,abuezd,T,,,,,,
abuses,abuezes,,abueses,F,,,,,,
abusing,abuezing,,abuezing,T,,,,,,
abusive,abuesiv,,abuesiv,T,,,,,,
abusively,abuesivly,,abuesivly,T,,,,,,
abut,abut,,abut,T,,,,,,
abysmal,abizmal,,abizmal,T,,,,,,
abysmally,abizmaly,,,NA,,,,,,
abyss,abis,,abis,T,,,,,,
accord,acord,,acord,T,,,,,,
accorded,acorded,,acorded,T,,,,,,
according,acording,,acording,T,,,,,,
accordingly,acordingly,,acordingly,T,,,,,,
accords,acords,,acords,T,,,,,,
accumulate,acuemulaet,,acuemuelaet,F,,,,,,
accumulated,acuemulaeted,,acuemuelaeted,F,,,,,,
accumulates,acuemulaets,,acuemuelaets,F,,,,,,
accumulating,acuemulaeting,,acuemuelaeting,F,,,,,,
accumulation,acuemulaeshon,,acuemuelaeshun,F,,,,,,
accumulations,acuemulaeshons,,,NA,,,,,,
accumulator,acuemulaetor,,acuemuelaetor,F,,,,,,
accumulators,acuemulaetors,,,NA,,,,,,
ace,aess,,aes,F,,,,,,
acerbic,asurbik,,,NA,,,,,,
acerbically,asurbikaly,,,NA,,,,,,
acerbity,asurbity,,aserbity,F,,,,,,
aces,aeses,,aeses,T,,,,,,
acetate,asetaet,,asetaet,T,,,,,,
acetic,aseetik,,asetic,F,,,,,,
acetone,asetoen,,asetoen,T,,,,,,
acetonemia,asetoeneemia,,asetoeneemia,T,,,,,,
acetylene,asetileen,,asetileen,T,,,,,,
ache,aek,,aek,T,,,,,,
ached,aekt,,aekt,T,,,,,,
aches,aeks,,aeks,T,,,,,,
achieve,acheev,,acheev,T,,,,,,
achieved,acheevd,,acheevd,T,,,,,,
achievement,acheevment,,acheevment,T,,,,,,
achievements,acheevments,,acheevments,T,,,,,,
achieves,acheevs,,acheevs,T,,,,,,
achieving,acheeving,,acheeving,T,,,,,,
aching,aeking,,aeking,T,,,,,,
achromatic,aecromatik,*,acromatic,F,,,,,,
achromatically,aecromatikaly,,,NA,,,,,,
acid,asid,,asid,T,,,,,,
acidhead,asidhed,,asidhed,T,,,,,,
acidification,asidificaeshon,,asidificaeshun,F,,,,,,
acidified,asidified,,asidified,T,,,,,,
acidify,asidifi,,asidifi,T,,,,,,
acidity,asidity,,asidity,T,,,,,,
acidosis,asidoesis,,asidoesis,T,,,,,,
acids,asids,,asids,T,,,,,,
acidulate,asijulaet,,asijulaet,T,,,,,,
acidulous,asijulus,,asijulus,T,,,,,,
acknowledge,aknolej,,aknolej,T,,,,,,
acknowledged,aknolejd,,aknolejd,T,,,,,,
acknowledgement,aknolejment,,aknolejment,T,,,,,,
acknowledgements,aknolejments,,,NA,,,,,,
acknowledges,aknolejes,,aknolejes,T,,,,,,
acknowledging,aknolejing,,aknolejing,T,,,,,,
acme,akmy,,acmy,F,,,,,,
acmes,akmys,,,NA,,,,,,
acne,akny,,acny,F,,,,,,
acolyte,acoliet,,acoliet,T,,,,,,
acolytes,acoliets,,,NA,,,,,,
aconite,aconiet,,aconiet,T,,,,,,
aconites,aconiets,,,NA,,,,,,
acorn,aecorn,,aecorn,T,,,,,,
acorns,aecorns,,aecorns,T,,,,,,
acoustic,acoostik,,acoostic,F,,,,,,
acoustical,acoostikal,,acoostical,F,,,,,,
acoustically,acoostikaly,,acoosticaly,F,,,,,,
acoustician,acoostishan,,acoostishan,T,,,,,,
acousticians,acoostishans,,,NA,,,,,,
acoustics,acoostiks,,acoostics,F,,,,,,
acquaint,aqaent,,aqaent,T,,,,,,
acquaintance,aqaentanss,,aqaentans,F,,,,,,
acquainted,aqaented,,aqaented,T,,,,,,
acquaints,aqaents,,,NA,,,,,,
acquiesce,aqi’ess,*,aqyes,F,,,,,,
acquiesced,aqi’est,,aqyest,F,,,,,,
acquiescence,aqi’esenss,*,aqyesens,F,,,,,,
acquiescent,aqi’esent,,aqyesent,F,,,,,,
acquire,aqier,,aqier,T,,,,,,
acquired,aqierd,,aqierd,T,,,,,,
acquires,aqiers,,aqiers,T,,,,,,
acquiring,aqiering,,aqiering,T,,,,,,
acquisition,aqizishon,,aqizishun,F,,,,,,
acquisitions,aqizishons,,aqizishuns,F,,,,,,
acquisitive,aqizitiv,,aqizitiv,T,,,,,,
acquisitively,aqizitivly,,,NA,,,,,,
acquisitiveness,aqizitivnes,,aqizitivnes,T,,,,,,
acquit,aqit,,aqit,T,,,,,,
acquits,aqits,,,NA,,,,,,
acquittal,aqital,,aqital,T,,,,,,
acquittals,aqitals,,,NA,,,,,,
acquitted,aqited,,aqited,T,,,,,,
acquitting,aqiting,,aqiting,T,,,,,,
acre,aeker,,aeker,T,,,,,,
acreage,aecrej,,aekerej,F,,,,,,
acreages,aecrejes,,,NA,,,,,,
acres,aekers,,aekers,T,,,,,,
acrid,acrid,,acrid,T,,,,,,
acridity,acridity,,acridity,T,,,,,,
acrimonious,acrimoenius,,acrimoenius,T,,,,,,
acrimony,acrimoeny,,acrimoeny,T,,,,,,
acrobat,acrobat,,acrobat,T,,,,,,
acrobatic,acrobatik,,acrobatic,F,,,,,,
acrobatics,acrobatiks,,acrobatics,F,,,,,,
acrobats,acrobats,,acrobats,T,,,,,,
acronym,acronim,,acronim,T,,,,,,
acronyms,acronims,,,NA,,,,,,
acropolis,acropolis,,acropolis,T,,,,,,
across,acros,*,across,F,,,,,,
acrostic,acrostik,*,acrostic,F,,,,,,
acrylic,acrilik,*,acrilic,F,,,,,,
act,akt,,act,F,,,,,,
acted,akted,,acted,F,,,,,,
acting,akting,,acting,F,,,,,,
actinic,aktinik,,actinic,F,,,,,,
actinometer,aktinometer,,actinometer,F,,,,,,
actinometers,aktinometers,,,NA,,,,,,
action,akshon,*,acshun,F,,,,,,
actionable,akshonabl,,acshunabl,F,,,,,,
actions,akshons,*,acshuns,F,,,,,,
activate,aktivaet,*,activaet,F,,,,,,
activated,aktivaeted,,activaeted,F,,,,,,
activates,aktivaets,,,NA,,,,,,
activating,aktivaeting,,activaeting,F,,,,,,
activation,aktivaeshon,,activaeshun,F,,,,,,
activations,aktivaeshons,*,,NA,,,,,,
active,aktiv,*,activ,F,,,,,,
actively,aktivly,,activly,F,,,,,,
activism,aktivizm,,activizm,F,,,,,,
activist,aktivist,,activist,F,,,,,,
activists,aktivists,,,NA,,,,,,
activities,aktivitys,,activitys,F,,,,,,
activity,aktivity,,activity,F,,,,,,
actor,aktor,*,actor,F,,,,,,
actors,aktors,,actors,F,,,,,,
actress,aktres,,actres,F,,,,,,
actresses,aktreses,,actreses,F,,,,,,
acts,akts,*,acts,F,,,,,,
actual,akchual,*,acchual,F,,,,,,
actualities,akchualitys,,acchualitys,F,,,,,,
actuality,akchuality,,acchuality,F,,,,,,
actually,akchualy,,acchualy,F,,,,,,
actuarial,akchuaerial,,acchuairial,F,,,,,,
actuarially,akchuaerialy,,acchuairialy,F,,,,,,
actuaries,akchuaerys,,acchuairys,F,,,,,,
actuary,akchuaery,,acchuairy,F,,,,,,
actuate,akchuaet,,acchuaet,F,,,,,,
actuated,akchuaeted,,acchuaeted,F,,,,,,
actuating,akchuaeting,*,acchuaeting,F,,,,,,
acuity,acueity,,acueity,T,,,,,,
acumen,acuemen,,acuemen,T,,,,,,
acupuncture,acuepunkcher,,acuepunkcher,T,,,,,,
acupunctures,acuepunkchers,,,NA,,,,,,
acupuncturist,acuepunkcherist,,,NA,,,,,,
acupuncturists,acuepunkcherists,,,NA,,,,,,
acute,acuet,,acuet,T,,,,,,
acutely,acuetly,,acuetly,T,,,,,,
acuteness,acuetnes,,acuetnes,T,,,,,,
ad,ad,,ad,T,,,,,,
adage,adej,,adej,T,,,,,,
adages,adejes,,,NA,,,,,,
adagio,adaajo,,adaajo,T,,,,,,
adagios,adaajoes,,adaajoes,T,,,,,,
Adam,Adam,,,NA,,,,,,
adamant,adamant,,adamant,T,,,,,,
adamantly,adamantly,,adamantly,T,,,,,,
adapt,adapt,,adapt,T,,,,,,
adaptability,adaptability,,adaptability,T,,,,,,
adaptable,adaptabl,,adaptabl,T,,,,,,
adaptation,adaptaeshon,,adaptaeshun,F,,,,,,
adaptations,adaptaeshons,,adaptaeshuns,F,,,,,,
adapted,adapted,,adapted,T,,,,,,
adapter,adapter,,adapter,T,,,,,,
adapters,adapters,,adapters,T,,,,,,
adapting,adapting,,adapting,T,,,,,,
add,ad,,ad,T,,,,,,
added,aded,,aded,T,,,,,,
addend,adend,,,NA,,,,,,
addenda,adenda,,adenda,T,,,,,,
addends,adends,,,NA,,,,,,
addendum,adendum,,adendum,T,,,,,,
addendums,adendums,,,NA,,,,,,
adder,ader,,ader,T,,,,,,
addict,adikt,,adict,F,,,,,,
addicting,adikting,,,NA,,,,,,
addiction,adikshon,,adicshun,F,,,,,,
addictions,adikshons,,adicshuns,F,,,,,,
addictive,adiktiv,,adictiv,F,,,,,,
addictively,adiktivly,,,NA,,,,,,
addictiveness,adiktivnes,,,NA,,,,,,
adding,ading,,ading,T,,,,,,
addition,adishon,,adishun,F,,,,,,
additional,adishonal,,adishunal,F,,,,,,
additionally,adishonally,,adishunaly,F,,,,,,
additive,aditiv,,aditiv,T,,,,,,
additives,aditivs,,aditivs,T,,,,,,
addle,adl,,adl,T,,,,,,
addled,adld,,,NA,,,,,,
addles,adls,,,NA,,,,,,
addling,adling,,,NA,,,,,,
address,adres,,adres,T,,,,,,
addressed,adrest,,adrest,T,,,,,,
addresses,adreses,,adreses,T,,,,,,
addressing,adresing,,adresing,T,,,,,,
adduce,aduess,,adues,F,,,,,,
adduced,aduest,,,NA,,,,,,
adduces,adueses,,,NA,,,,,,
adducing,aduesing,,aduesing,T,,,,,,
adept,adept,,adept,T,,,,,,
adepts,adepts,,,NA,,,,,,
adequacy,adeqasy,,adeqasy,T,,,,,,
adequate,adeqat,*,adeqet,F,,,,,,
adequately,adeqatly,,adeqetly,F,,,,,,
adhere,adheer,,adheer,T,,,,,,
adhered,adheerd,,adheerd,T,,,,,,
adherence,adheerenss,,adheerens,F,,,,,,
adherent,adheerent,,adheerent,T,,,,,,
adherents,adheerents,,adheerents,T,,,,,,
adheres,adheers,,adheers,T,,,,,,
adhering,adheers,,adheering,F,,,,,,
adhesion,adheezhon,,adheezhun,F,,,,,,
adhesive,adheesiv,,adheesiv,T,,,,,,
adhesively,adheesivly,,adheesivly,T,,,,,,
adhesives,adheesivs,,adheesivs,T,,,,,,
adjacent,ajaesent,,ajaesent,T,,,,,,
adjectival,ajektieval,,ajectieval,F,,,,,,
adjectivally,ajektievaly,,,NA,,,,,,
adjective,ajektiv,,ajectiv,F,,,,,,
adjectives,ajektivs,,ajectivs,F,,,,,,
adjoin,ajoin,,ajoin,T,,,,,,
adjoined,ajoind,,ajoind,T,,,,,,
adjoining,ajoining,,ajoining,T,,,,,,
adjoins,ajoins,,ajoins,T,,,,,,
adjourn,ajurn,,ajern,F,,,,,,
adjourned,ajurnd,,ajernd,F,,,,,,
adjourning,ajurning,,ajerning,F,,,,,,
adjournment,ajurnment,,ajernment,F,,,,,,
adjournments,ajurnments,,,NA,,,,,,
adjourns,ajurns,,ajerns,F,,,,,,
adjudge,ajuj,,ajuj,T,,,,,,
adjudged,ajujd,,ajujd,T,,,,,,
adjudging,ajujing,,ajujing,T,,,,,,
adjudicate,ajoodicaet,,ajoodicaet,T,,,,,,
adjudicated,ajoodicaeted,,,NA,,,,,,
adjudicates,ajoodicaets,,,NA,,,,,,
adjudicating,ajoodicaeting,,ajoodicaeting,T,,,,,,
adjudication,ajoodicaeshon,,ajoodicaeshun,F,,,,,,
adjudications,ajoodicaeshons,,,NA,,,,,,
adjudicator,ajoodicaetor,,ajoodicaetor,T,,,,,,
adjudicators,ajoodicaetors,,,NA,,,,,,
adjunct,ajunkt,,ajunkt,T,,,,,,
adjuncts,ajunkts,,ajunkts,T,,,,,,
adjuration,ajuuraeshon,,ajuraeshun,F,,,,,,
adjure,ajuur,,ajur,F,,,,,,
adjust,ajust,,ajust,T,,,,,,
adjustable,ajustabl,,ajustabl,T,,,,,,
adjusted,ajusted,,ajusted,T,,,,,,
adjusting,ajusting,,ajusting,T,,,,,,
adjustment,ajustment,,ajustment,T,,,,,,
adjustments,ajustments,,ajustments,T,,,,,,
adjusts,ajusts,,ajusts,T,,,,,,
adjutant,ajutant,*,ajutant,T,,,,,,
adjutants,ajutants,,,NA,,,,,,
admeasure,admezher,,admezher,T,,,,,,
administations,administraeshons,,,NA,,,,,,
administer,administer,,administer,T,,,,,,
administered,administerd,,administerd,T,,,,,,
administering,administering,,administering,T,,,,,,
administers,administers,,administers,T,,,,,,
administration,administraeshon,,administraeshun,F,,,,,,
administrative,administraetiv,,administraetiv,T,,,,,,
administrator,administraetor,,administraetor,T,,,,,,
administrators,administraetors,,administraetors,T,,,,,,
admirable,admerabl,*,admerabl,T,,,,,,
admirably,admerably,*,admerably,T,,,,,,
admiral,admeral,*,admeral,T,,,,,,
admirals,admerals,*,admerals,T,,,,,,
admiralty,admeralty,*,admeralty,T,,,,,,
admiration,admeraeshon,*,admeraeshun,F,,,,,,
admire,admier,,admier,T,,,,,,
admired,admierd,,admierd,T,,,,,,
admirer,admierer,,admierer,T,,,,,,
admirers,admierers,,admierers,T,,,,,,
admiring,admiering,,admiering,T,,,,,,
admiringly,admieringly,,admieringly,T,,,,,,
admissibility,admisibility,,admisibility,T,,,,,,
admissible,admisibl,,admisibl,T,,,,,,
admission,admishon,,admishun,F,,,,,,
admissions,admishon,,admishuns,F,,,,,,
admit,admit,,admit,T,,,,,,
admits,admits,,admits,T,,,,,,
admittance,admitanss,,admitans,F,,,,,,
admitted,admited,,admited,T,,,,,,
admittedly,admitedy,,admitedly,F,,,,,,
admitting,admiting,,admiting,T,,,,,,
admixed,admixt,,admixt,T,,,,,,
admixture,admixcher,,admixcher,T,,,,,,
admixtures,admixchers,,,NA,,,,,,
admonish,admonish,,admonish,T,,,,,,
admonished,admonisht,,admonisht,T,,,,,,
admonishing,admonishing,,admonishing,T,,,,,,
admonishment,admonishment,,,NA,,,,,,
admonishments,admonishments,,admonishments,T,,,,,,
admonition,admonishon,,admonishun,F,,,,,,
admonitions,admonishons,,admonishuns,F,,,,,,
admonitory,admonitory,,admonitory,T,,,,,,
ado,adoo,,adoo,T,,,,,,
adobe,adoeby,,adoeby,T,,,,,,
adolescence,adolesenss,,adolesens,F,,,,,,
adolescent,adolesent,,adolesent,T,,,,,,
adolescents,adolesents,,adolesents,T,,,,,,
adopt,adopt,,adopt,T,,,,,,
adopted,adopted,,adopted,T,,,,,,
adopting,adopting,,adopting,T,,,,,,
adoption,adopshon,,adopshun,F,,,,,,
adoptions,adopshons,,,NA,,,,,,
adoptive,adoptiv,,adoptiv,T,,,,,,
adopts,adopts,,adopts,T,,,,,,
adorable,adorabl,,adorabl,T,,,,,,
adore,ador,,ador,T,,,,,,
adored,adord,,adord,T,,,,,,
adores,adors,,adors,T,,,,,,
adoring,adoring,,adoring,T,,,,,,
adorn,adorn,,adorn,T,,,,,,
adorn,adorn,,adorn,T,,,,,,
adorned,adornd,,adornd,T,,,,,,
adornment,adornment,,adornment,T,,,,,,
adrenal,adreenal,,adreenal,T,,,,,,
adrenaline,adrenalin,,adrenalin,T,,,,,,
adrift,adrift,,adrift,T,,,,,,
adroit,adroit,,adroit,T,,,,,,
adroitness,adroitnes,,adroitnes,T,,,,,,
ads,ads,,ads,T,,,,,,
adsorb,adsorb,,,NA,,,,,,
adsorbed,adsorbd,,adsorbd,T,,,,,,
adsorption,adsorpshon,,adsorpshun,F,,,,,,
adsorptions,adsorpshons,,,NA,,,,,,
adulate,adjulaet,*,adjulaet,T,,,,,,
adulated,adjulaeted,*,,NA,,,,,,
adulates,adjulaets,*,,NA,,,,,,
adulating,adjulaeting,*,,NA,,,,,,
adulation,adjulaeshon,*,adjulaeshun,F,,,,,,
adulations,adjulaeshons,*,,NA,,,,,,
adult,adult,,adult,T,,,,,,
